Time,EncoderAngle
56164144.6657,-66.0
56164164.6693,-65.0
56164185.1013,-65.0
56164204.7204,-64.0
56164225.6253,-64.0
56164244.861,-65.0
56164267.038,-65.0
56164284.808,-66.0
56164305.1031,-66.0
56164324.9839,-66.0
56164344.815,-65.0
56164364.3744,-65.0
56164384.8409,-65.0
56164405.2163,-64.0
56164425.0302,-64.0
56164444.8738,-64.0
56164464.7132,-63.0
56164484.6115,-63.0
56164504.9641,-63.0
56164524.7935,-63.0
56164545.5633,-63.0
56164564.435,-63.0
56164584.9921,-64.0
56164604.9628,-64.0
56164634.6065,-64.0
56164655.1162,-63.0
56164676.7266,-63.0
56164694.6812,-63.0
56164714.8181,-63.0
56164734.3603,-63.0
56164754.8173,-62.0
56164774.9768,-62.0
56164795.2648,-62.0
56164815.0617,-63.0
56164834.9705,-63.0
56164854.4108,-63.0
56164875.6838,-62.0
56164894.9138,-62.0
56164915.0983,-62.0
56164934.7746,-62.0
56164954.7678,-61.0
56164975.4691,-61.0
56164995.504,-61.0
56165015.0465,-62.0
56165034.8844,-62.0
56165054.4393,-62.0
56165074.9319,-62.0
56165094.942,-62.0
56165114.2603,-62.0
56165134.8829,-62.0
56165154.4978,-62.0
56165175.0767,-61.0
56165194.8521,-61.0
56165214.844,-61.0
56165234.7977,-61.0
56165254.9095,-61.0
56165274.4323,-61.0
56165295.1607,-61.0
56165314.6748,-61.0
56165335.3299,-60.0
56165354.3633,-60.0
56165374.8097,-60.0
56165395.0606,-59.0
56165414.8048,-59.0
56165434.2801,-59.0
56165455.0495,-58.0
56165474.3193,-58.0
56165496.1058,-58.0
56165515.2365,-57.0
56165534.8514,-57.0
56165554.727,-58.0
56165574.378,-58.0
56165594.7753,-58.0
56165615.2225,-57.0
56165634.8707,-57.0
56165655.6036,-56.0
56165684.6123,-56.0
56165705.859,-56.0
56165724.5487,-56.0
56165744.8673,-57.0
56165765.961,-57.0
56165784.3554,-57.0
56165805.2376,-56.0
56165825.269,-56.0
56165844.5941,-56.0
56165864.7705,-57.0
56165884.8527,-57.0
56165905.4434,-56.0
56165925.1241,-56.0
56165944.9301,-55.0
56165965.1389,-55.0
56165985.1104,-54.0
56166004.9956,-54.0
56166024.9738,-53.0
56166044.8953,-53.0
56166065.0628,-53.0
56166085.2138,-54.0
56166105.4139,-54.0
56166124.9688,-54.0
56166144.8467,-53.0
56166164.573,-53.0
56166184.8328,-54.0
56166205.3717,-54.0
56166225.5001,-55.0
56166244.5036,-55.0
56166264.1915,-55.0
56166284.3427,-55.0
56166305.5657,-55.0
56166325.3929,-56.0
56166345.1698,-56.0
56166364.4277,-56.0
56166384.9831,-57.0
56166405.3755,-57.0
56166425.5642,-58.0
56166444.331,-58.0
56166464.8992,-58.0
56166486.8318,-57.0
56166505.5761,-57.0
56166535.2943,-58.0
56166554.8227,-58.0
56166574.862,-58.0
56166595.4939,-59.0
56166614.2486,-59.0
56166634.6799,-59.0
56166654.7185,-59.0
56166675.4076,-59.0
56166694.8572,-60.0
56166714.8612,-60.0
56166734.445,-60.0
56166755.6092,-61.0
56166774.3785,-61.0
56166795.067,-61.0
56166815.1701,-62.0
56166834.4169,-62.0
56166855.2729,-62.0
56166875.1552,-63.0
56166894.2365,-63.0
56166915.4712,-63.0
56166934.2432,-63.0
56166955.079,-64.0
56166974.2915,-64.0
56166994.2028,-64.0
56167015.3167,-64.0
56167034.7615,-64.0
56167054.8705,-65.0
56167074.3037,-65.0
56167094.5223,-65.0
56167114.2322,-65.0
56167134.3559,-65.0
56167154.4245,-65.0
56167174.913,-65.0
56167194.3808,-65.0
56167214.41,-65.0
56167237.3479,-65.0
56167254.4652,-65.0
56167274.9213,-65.0
56167294.5744,-65.0
56167314.4512,-65.0
56167334.3705,-65.0
56167354.4317,-65.0
56167374.3747,-65.0
56167394.8849,-64.0
56167414.4591,-64.0
56167434.3276,-64.0
56167454.5325,-64.0
56167474.5042,-64.0
56167494.5347,-64.0
56167514.6132,-64.0
56167534.8456,-64.0
56167554.9707,-64.0
56167574.6456,-64.0
56167594.5122,-64.0
56167614.4107,-64.0
56167634.2916,-64.0
56167655.3143,-64.0
56167674.233,-64.0
56167695.1614,-65.0
56167714.5012,-65.0
56167735.0143,-65.0
56167754.7136,-65.0
56167774.7415,-65.0
56167794.9239,-65.0
56167814.4013,-65.0
56167835.0472,-65.0
56167854.6375,-65.0
56167874.3677,-65.0
56167894.3342,-65.0
56167916.0814,-66.0
56167935.3972,-66.0
56167955.0964,-66.0
56167975.6966,-66.0
56167995.0211,-65.0
56168014.2735,-65.0
56168034.8419,-65.0
56168056.1678,-65.0
56168074.6175,-65.0
56168094.7217,-65.0
56168114.9891,-66.0
56168136.0451,-66.0
56168155.8385,-66.0
56168174.9672,-66.0
56168194.7485,-67.0
56168214.1033,-67.0
56168234.5104,-67.0
56168255.4728,-67.0
56168274.4398,-67.0
56168294.9273,-66.0
56168314.9147,-66.0
56168334.7524,-67.0
56168354.7343,-67.0
56168374.8318,-68.0
56168394.5641,-68.0
56168415.2195,-68.0
56168435.6856,-69.0
56168454.7033,-69.0
56168475.4061,-69.0
56168494.8883,-70.0
56168514.5748,-70.0
56168534.8275,-69.0
56168554.7666,-69.0
56168574.5042,-69.0
56168594.2382,-69.0
56168614.7147,-68.0
56168635.656,-68.0
56168654.9153,-68.0
56168674.4825,-68.0
56168694.4984,-68.0
56168714.9622,-69.0
56168736.6824,-69.0
56168755.6222,-68.0
56168775.0322,-68.0
56168794.6632,-68.0
56168814.3908,-68.0
56168834.9689,-67.0
56168855.3723,-67.0
56168875.0934,-66.0
56168894.907,-66.0
56168915.1464,-66.0
56168934.8789,-65.0
56168955.3008,-65.0
56168977.5283,-65.0
56168994.7918,-65.0
56169015.0247,-64.0
56169035.3796,-64.0
56169055.8942,-63.0
56169074.721,-63.0
56169095.1903,-62.0
56169114.8193,-62.0
56169135.311,-62.0
56169155.621,-63.0
56169185.8225,-63.0
56169205.4835,-63.0
56169224.3566,-63.0
56169245.0295,-62.0
56169264.9874,-62.0
56169285.1233,-62.0
56169305.3955,-63.0
56169325.2337,-63.0
56169344.7373,-63.0
56169364.8886,-62.0
56169387.7322,-62.0
56169405.267,-61.0
56169425.0887,-61.0
56169444.6993,-60.0
56169464.9954,-60.0
56169485.1464,-59.0
56169504.9883,-59.0
56169525.2048,-58.0
56169545.0888,-58.0
56169564.852,-58.0
56169584.5799,-58.0
56169605.3495,-57.0
56169624.9413,-57.0
56169644.4379,-57.0
56169664.7595,-56.0
56169684.9569,-56.0
56169705.0312,-55.0
56169724.905,-55.0
56169754.8478,-55.0
56169774.7016,-55.0
56169796.7166,-56.0
56169814.523,-56.0
56169835.4783,-56.0
56169854.904,-56.0
56169875.2235,-55.0
56169895.0583,-55.0
56169915.0851,-56.0
56169934.5787,-56.0
56169954.7324,-56.0
56169974.901,-55.0
56169995.0923,-55.0
56170015.6967,-56.0
56170034.8096,-56.0
56170055.0876,-56.0
56170075.1899,-55.0
56170094.7455,-55.0
56170115.3637,-55.0
56170143.451,-56.0
56170164.9022,-56.0
56170185.7774,-56.0
56170217.0676,-56.0
56170235.1617,-56.0
56170254.3183,-56.0
56170274.8608,-56.0
56170295.2888,-57.0
56170314.7731,-57.0
56170335.356,-58.0
56170354.9241,-58.0
56170374.9782,-59.0
56170395.2241,-59.0
56170414.6497,-59.0
56170435.1899,-58.0
56170455.1249,-58.0
56170474.6577,-58.0
56170495.2774,-59.0
56170515.6701,-59.0
56170535.0912,-58.0
56170554.6301,-58.0
56170575.2445,-58.0
56170594.83,-59.0
56170616.008,-59.0
56170635.4416,-58.0
56170654.6981,-58.0
56170675.0149,-58.0
56170694.7349,-58.0
56170714.4139,-58.0
56170735.2171,-57.0
56170754.6557,-57.0
56170775.3648,-57.0
56170794.9633,-56.0
56170814.1775,-56.0
56170835.1613,-56.0
56170854.2232,-56.0
56170874.7371,-56.0
56170894.6399,-56.0
56170914.8976,-55.0
56170934.7235,-55.0
56170955.5101,-55.0
