Time,EncoderAngle
55158037.1849,76.0
55158056.2714,76.0
55158076.6094,75.0
55158096.811,75.0
55158237.1333,75.0
55158330.1781,75.0
55158535.7757,75.0
55158547.3121,76.0
55158844.2204,76.0
55158972.5509,76.0
55159153.0009,77.0
55159280.1646,77.0
55159460.9023,77.0
55159466.9991,77.0
55159586.4083,78.0
55159769.284,78.0
55160057.7809,78.0
55160200.6109,78.0
55160449.2869,77.0
55160497.8547,77.0
55160517.3761,77.0
55160536.1898,77.0
55160556.279,77.0
55160576.3966,77.0
55160597.5221,76.0
55160616.8318,76.0
55160635.9299,76.0
55160657.1007,75.0
55160677.1557,75.0
55160697.6143,76.0
55160717.4713,76.0
55160736.4659,75.0
55160756.7707,75.0
55160776.3962,75.0
55160797.165,76.0
55160817.3817,76.0
55160836.6199,76.0
55160856.6899,77.0
55160876.2891,77.0
55160897.4583,77.0
55160916.9319,78.0
55160936.5843,78.0
55160956.8899,78.0
55160976.5085,79.0
55160996.1997,79.0
55161016.8499,79.0
55161036.0718,79.0
55161057.9189,79.0
55161077.1661,79.0
55161097.2134,80.0
55161116.0476,80.0
55161136.056,80.0
55161156.7198,80.0
55161176.6882,80.0
55161197.0552,80.0
55161216.2405,80.0
55161236.1911,80.0
55161255.8598,80.0
55161277.2108,81.0
55161297.3854,81.0
55161316.0884,81.0
55161336.0333,81.0
55161356.097,81.0
55161376.7169,82.0
55161396.2185,82.0
55161416.5181,82.0
55161435.9607,82.0
55161456.894,82.0
55161476.7364,82.0
55161497.3404,83.0
55161516.4292,83.0
55161535.998,83.0
55161556.5504,83.0
55161576.6177,83.0
55161596.935,83.0
55161617.4696,83.0
55161635.9585,83.0
55161656.5012,83.0
55161676.9401,84.0
55161696.9228,84.0
55161726.8928,84.0
55161746.6257,84.0
55161766.9772,84.0
55161786.5649,83.0
55161806.3745,83.0
55161825.9693,83.0
55161846.1377,83.0
55161866.0016,83.0
55161886.8946,83.0
55161906.0664,83.0
55161925.8624,83.0
